 Mass Survey
14109 8.54373119694717 CEERS
11214 8.287260365442734 CEERS
15317 8.162776163890578 CEERS
17190 7.985463187938086 CEERS
24214 9.32680910293137 CEERS
24488 8.355157432788475 CEERS
19690 8.100827939879647 CEERS
58873 7.666506319861341 CEERS
17685 7.978650310254618 CEERS
16304 9.20548908967157 CEERS
15655 8.866984569730441 CEERS
97705 7.45142357152738 CEERS
96485 7.531703748946475 CEERS
12565 7.682341505131832 CEERS
10108 9.781615218018333 CEERS
8194 7.795221595407808 CEERS
82981 8.074081848716354 CEERS
78159 7.68081504818398 CEERS
4728 8.71757954000281 CEERS
4629 8.820815006609838 CEERS
78760 7.926164551147998 CEERS
80913 7.942310124132591 CEERS
5537 8.105742507614437 CEERS
8648 8.524373101852687 CEERS
8666 8.298147002296913 CEERS
14238 8.344076438878252 CEERS
11964 8.092703418039571 CEERS
12034 8.069100547991052 CEERS
8791 10.72679498634612 CEERS
78008 7.349914338215692 CEERS
4278 7.84456232864485 CEERS
6628 8.318742664265365 CEERS
14898 9.853318702209284 CEERS
69879 9.038726158971222 CEERS
2816 8.797439979607194 CEERS
84467 8.232164486107092 CEERS
8752 9.05482147318896 CEERS
7499 8.346509222532202 CEERS
11141 7.842910303389681 CEERS
12329 8.007264137059376 CEERS
16209 7.939490143917671 CEERS
20183 8.076328390830135 CEERS
19378 8.060740429815212 CEERS
25298 8.367321434741271 CEERS
45018 7.551931040018784 CEERS
23954 7.980596188512827 CEERS
61658 7.667429707864674 CEERS
93773 8.46759149107443 CEERS
92733 8.052107770044115 CEERS
11585 10.69246657676445 CEERS
11665 8.153056271124589 CEERS
61836 8.760818286050126 UDS
69950 10.106218412482663 UDS
69473 7.819216394369184 UDS
44492 8.371886390454314 UDS
39707 8.098375046362355 UDS
42279 8.312144326775371 UDS
42179 9.23415341635511 UDS
72944 7.526780945549989 UDS
76794 8.387784772868141 UDS
76952 9.119084059262171 UDS
79938 8.401306541551428 UDS
88281 7.916426986163136 UDS
24627 8.247064218040242 UDS
74562 8.033221817464081 UDS
155320 10.219484389186835 UDS
96239 8.536341636619952 UDS
96654 8.02531454488343 UDS
96668 8.068802823626145 UDS
97296 8.473006491269835 UDS
97900 8.961620312818726 UDS
98939 7.649549269253604 UDS
25982 8.293503532942278 UDS
32825 8.8901285154036 UDS
30011 8.180241891003783 UDS
102732 8.108409983668153 UDS
25916 8.132726173109166 UDS
79200 7.487801263398614 UDS
30548 9.8552161686825 UDS
97616 8.23255259104441 UDS
26184 8.061922428183708 UDS
101042 7.725278987027524 UDS
